threshold,recall,precision,fp_rate,fn_rate
0.1,0.9229219143576827,0.44187168355041,0.321737437779817,0.07707808564231738
0.11,0.918287153652393,0.4737744970629516,0.2814994021300854,0.08171284634760705
0.12000000000000001,0.9140554156171284,0.4883195177091183,0.2643419259753622,0.08594458438287153
0.13,0.910528967254408,0.49596619285439875,0.2553877812074192,0.08947103274559194
0.14,0.9073047858942066,0.5037762237762238,0.24665609966352436,0.09269521410579346
0.15000000000000002,0.9026700251889169,0.5132626754511601,0.23625594393926755,0.09732997481108312
0.16,0.8991435768261965,0.5214139643587496,0.22777453352242708,0.10085642317380353
0.17,0.894911838790932,0.5368713733075435,0.21306415283223493,0.10508816120906801
0.18,0.8887657430730479,0.5543963295833072,0.19715803231278328,0.11123425692695214
0.19,0.8848362720403022,0.5635628569595071,0.18912154834403938,0.11516372795969773
0.2,0.8819143576826196,0.5709347074554824,0.18292038597369373,0.11808564231738035
0.21000000000000002,0.878992443324937,0.578591325109431,0.17669141570034202,0.12100755667506297
0.22,0.8751637279596978,0.5868522397135328,0.17004532688189983,0.12483627204030227
0.23,0.8724433249370277,0.5936107492973195,0.1648452490197714,0.1275566750629723
0.24000000000000002,0.8703274559193954,0.5999027710257657,0.1602013292177637,0.12967254408060452
0.25,0.8663979848866499,0.6073169009110813,0.15461194071355078,0.13360201511335013
0.26,0.863073047858942,0.6150201033888569,0.149105975918356,0.13692695214105793
0.27,0.8599496221662468,0.6197356956142899,0.14562998804260172,0.14005037783375315
0.28,0.8563224181360202,0.6242379728240911,0.14226523177887154,0.14367758186397986
0.29000000000000004,0.8535012594458439,0.6286456400742115,0.1391507466421957,0.14649874055415618
0.30000000000000004,0.8510831234256927,0.6334933253337333,0.1358972219904897,0.1489168765743073
0.31,0.8483627204030226,0.6376855498333838,0.13303300798086817,0.15163727959697734
0.32,0.8462468513853905,0.6426658504858827,0.12986290703818026,0.15375314861460956
0.33,0.8443324937027707,0.6474042027194067,0.1269152693195406,0.15566750629722922
0.33999999999999997,0.8420151133501259,0.6516179337231969,0.12424571063096132,0.15798488664987406
0.35,0.8386901763224182,0.6580757372124278,0.12026918050109842,0.16130982367758187
0.36,0.8359697732997481,0.6620122875608394,0.11779427713356136,0.16403022670025189
0.37,0.8327455919395466,0.6655125211369676,0.11551402908706654,0.1672544080604534
0.38,0.8298236775818639,0.6697023906326232,0.11295570201051139,0.17017632241813602
0.39,0.8272040302267003,0.6749979445860397,0.10992464058285364,0.17279596977329975
0.4,0.8243828715365239,0.6791168658698539,0.10750535302132866,0.17561712846347607
0.41000000000000003,0.8218639798488665,0.6839104552695565,0.10483579433274937,0.1781360201511335
0.42000000000000004,0.8175314861460957,0.6908471690080885,0.10097049581491059,0.18246851385390428
0.43000000000000005,0.8140050377833753,0.693595467032967,0.09924640582853647,0.18599496221662468
0.44000000000000006,0.8116876574307305,0.6971873647771527,0.09729985261811407,0.18831234256926951
0.45000000000000007,0.809471032745592,0.7004359197907585,0.09554795472873391,0.19052896725440807
0.45999999999999996,0.807455919395466,0.7044036213413026,0.0935179778092934,0.192544080604534
0.47,0.8058438287153652,0.7079755687350624,0.09173827201690721,0.19415617128463475
0.48,0.8039294710327456,0.7113944365192582,0.09001418203053307,0.1960705289672544
0.49,0.8021158690176322,0.714311350381337,0.08854036317121326,0.19788413098236776
0.5,0.7946599496221662,0.7158936189525279,0.0870387364088874,0.20534005037783376
0.51,0.7852896725440806,0.7176795580110498,0.08525903061650121,0.2147103274559194
0.52,0.7786397984886649,0.7191513121161363,0.08392425127221156,0.221360201511335
0.53,0.773904282115869,0.7209498779801014,0.08267289563694002,0.226095717884131
0.54,0.7696725440806045,0.7227741508184312,0.08147715580768054,0.23032745591939546
0.55,0.7652392947103275,0.726307736444487,0.07958621840327021,0.23476070528967255
0.56,0.7610075566750629,0.728491512345679,0.0782792469619866,0.23899244332493702
0.5700000000000001,0.7574811083123426,0.7306832539605403,0.07705569922972108,0.24251889168765742
0.58,0.7531486146095718,0.732484076433121,0.07591557520647368,0.24685138539042822
0.59,0.7484130982367758,0.7347907804926304,0.074552987959178,0.2515869017632242
0.6,0.7427707808564231,0.7376425855513308,0.07291232168182198,0.2572292191435768
0.61,0.7391435768261965,0.739590684544813,0.07182781346458664,0.26085642317380353
0.62,0.7343073047858942,0.741479295960932,0.07065988153833319,0.26569269521410577
0.63,0.7298740554156171,0.743355566957414,0.06954756541809182,0.2701259445843829
0.64,0.7262468513853905,0.7453981385729059,0.06846305720085648,0.2737531486146096
0.65,0.7233249370277078,0.7475010412328197,0.06743416478963321,0.2766750629722922
0.66,0.7203022670025189,0.749842668344871,0.06632184866939184,0.27969773299748113
0.67,0.7166750629722922,0.7533361575937302,0.06476460610105392,0.28332493702770783
0.6799999999999999,0.7129471032745592,0.755982905982906,0.06351325046578238,0.2870528967254408
0.69,0.7085138539042821,0.7580036649779024,0.06242874224854704,0.2914861460957179
0.7,0.7036775818639799,0.7606186016118492,0.06112177080726342,0.29632241813602017
0.71,0.6989420654911839,0.7645762151438333,0.059397680820889295,0.3010579345088161
0.72,0.693904282115869,0.7677814938684504,0.05792386196156948,0.306095717884131
0.73,0.6875566750629722,0.7710734463276836,0.05633881149022552,0.3124433249370277
0.74,0.6809068010075566,0.7759788724308186,0.054253218764772945,0.3190931989924433
0.75,0.6754659949622166,0.781989968505774,0.05197297071827813,0.3245340050377834
0.76,0.6679093198992443,0.7881345856616335,0.049553683156753146,0.33209068010075565
0.77,0.6610579345088161,0.7935413642960812,0.047468090431300576,0.3389420654911839
0.78,0.6536020151133501,0.7991868917087593,0.045326881899835934,0.34639798488664986
0.79,0.6451385390428211,0.8055101270600076,0.04299101804732905,0.35486146095717885
0.8,0.6360705289672544,0.8121703332046829,0.0405995383888101,0.3639294710327456
0.8099999999999999,0.6274055415617128,0.8209624258404746,0.0377631322821946,0.37259445843828715
0.82,0.6157178841309824,0.8315417063546061,0.03442618392147048,0.3842821158690176
0.83,0.6022166246851386,0.8394662921348315,0.031784433135897225,0.39778337531486146
0.84,0.585088161209068,0.8440406976744186,0.02983787992547482,0.41491183879093196
0.85,0.5712846347607052,0.8505850585058505,0.027696671394010178,0.4287153652392947
0.86,0.5584886649874056,0.8569882498453927,0.02572231028058174,0.4415113350125945
0.87,0.5464987405541561,0.8627326228725942,0.023998220294207614,0.45350125944584385
